LATITUDE,LONGITUDE,FIRE_YEAR,CAUSE,FIRE_SIZE,STATE,DAYS_TO_CONTAIN
34.36548,-94.25689,2007,Human,3.0,AR,
29.52,-82.61,1996,Human,1.0,FL,
39.8375,-109.2014,2007,Natural,0.1,UT,0.0
40.275,-74.34583,1994,Human,15.0,NJ,
35.115,-112.30666667,1998,Natural,0.2,AZ,18.0
39.022863,-80.17183151,1999,Human,0.1,WV,0.0
36.35,-76.8667,2004,Human,0.7,NC,
37.70388888,-120.34194444,1996,Human,0.2,CA,
39.52502826,-78.7324672,1995,Human,0.5,WV,0.0
32.157642,-94.856208,2010,Human,0.5,TX,
37.32333333,-107.4875,1994,Natural,0.1,CO,0.0
45.5658,-109.8025,2016,Human,4.0,MT,
32.06899001,-94.55212997,2007,Human,10.0,TX,
32.3214,-83.53,1999,Human,0.9,GA,
35.85,-82.6167,2002,Human,0.2,NC,
32.17082638,-84.54052378,2011,Human,0.4,GA,0.0
43.1481,-102.3667,2012,Human,0.1,SD,0.0
43.21790743,-74.9430507,2011,Human,0.88,NY,0.0
42.0414,-73.9422,2012,Human,0.1,NY,0.0
45.850726,-116.205093,2000,Natural,0.75,ID,
33.56749224,-112.1317013,2018,Human,0.1,AZ,0.0
35.66059869,-94.72779846,1993,Undetermined,120.0,OK,0.0
39.2216,-117.891,2002,Natural,0.1,NV,0.0
36.0041,-118.7551,1997,Human,3.0,CA,0.0
31.15,-87.378,2019,Human,4.5,AL,3.0
35.835,-81.545,1996,Human,0.1,NC,
45.833333,-119.766944,1999,Human,145.0,OR,0.0
36.32809842,-94.99739835,1994,Undetermined,6.0,OK,0.0
34.41220045,-95.24739826,1994,Undetermined,2.0,OK,0.0
48.0664,-105.0331,2015,Human,0.2,MT,0.0
38.590098,-120.846356,2018,Human,5.0,CA,0.0
33.34764,-110.45981,2017,Human,0.5,AZ,5.0
37.209967,-120.634833,2013,Human,20.0,CA,1.0
37.335298,-119.65229,2012,Human,0.1,CA,
27.95,-81.55,1992,Human,3.0,FL,
42.063732,-76.615398,2020,Human,0.55,NY,0.0
43.0136,-108.7429,1992,Human,0.1,WY,0.0
41.51486048,-74.06696516,2009,Human,0.1,NY,0.0
45.19388889,-105.96944444,2004,Natural,3.0,MT,1.0
33.57277778,-108.43305556,2014,Natural,0.1,NM,1.0
39.47166667,-121.225,1993,Human,0.2,CA,0.0
33.25344,-103.2817,2007,Natural,7600.0,NM,0.0
35.11831,-114.604807,2020,Human,0.1,AZ,
33.05357,-86.17341,1995,Human,12.0,AL,
34.9244,-79.1983,2011,Human,8.0,NC,0.0
39.70099,-104.809109,2011,Undetermined,1.0,CO,
34.74113425,-111.9028371,2019,Human,0.01,AZ,0.0
34.7125,-82.7875,1995,Undetermined,1.5,SC,0.0
46.699823,-116.935462,1994,Human,5.5,ID,
43.75638889,-85.62916667,2012,Human,1.25,MI,0.0
30.00282746,-96.12162661,2009,Human,1.0,TX,
36.84611111,-121.68194444,2003,Human,0.5,CA,0.0
33.0446,-112.0581,2014,Undetermined,0.1,AZ,0.0
38.6817,-108.9094,2010,Natural,0.3,CO,7.0
35.24931,-114.0198953,2018,Human,0.1,AZ,0.0
26.1274965,-98.1205806,2013,Human,1.0,TX,
30.5553,-82.0603,1999,Natural,55.1,GA,
33.7361,-87.0142,1998,Human,4.0,AL,
33.37911997,-98.80352,2006,Human,1.0,TX,
45.80144,-122.2801,2019,Human,0.1,WA,6.0
40.96388888,-121.62111111,2002,Natural,1.0,CA,0.0
18.056477,-66.940918,2005,Undetermined,0.5,PR,
36.20388888,-119.12694444,2001,Human,0.8,CA,0.0
35.58527755,-105.3730545,1994,Undetermined,0.1,NM,
34.225,-82.19583333,1996,Undetermined,2.0,SC,0.0
48.08424,-118.2009,2016,Natural,0.7,WA,10.0
32.0463,-81.2882,2001,Human,3.04,GA,0.0
31.516,-81.221,2004,Natural,0.2,GA,0.0
42.96197,-76.05442,2018,Human,0.0729,NY,0.0
42.41194,-123.43889,2008,Human,0.01,OR,3.0
35.83444595,-106.60944366,1996,Undetermined,1.5,NM,
32.61457997,-96.27971001,2005,Human,1.0,TX,
30.3858,-89.79933,2008,Human,4.0,LA,
39.832378,-122.19218,2011,Human,40.0,CA,
33.78594,-96.55474,2017,Human,1.0,TX,
34.82826667,-80.05215,2013,Undetermined,1.0,NC,0.0
43.2922,-96.6969,2011,Human,0.5,SD,
35.1617,-77.5117,1994,Human,1.0,NC,
42.67333333,-120.62472222,1997,Natural,0.1,OR,0.0
48.9059,-117.7442,2014,Human,0.2,WA,7.0
37.823176,-122.269231,2009,Human,0.1,CA,
33.36208581,-83.25489647,2007,Human,0.1,GA,
34.653,-85.2588,1993,Human,0.3,GA,0.0
32.71444239,-96.32969927,2009,Human,1.0,TX,
34.955835,-88.034535,2012,Human,702.0,AL,2.0
32.743,-86.804,2020,Human,1.0,AL,1.0
42.88638889,-110.88555556,1999,Natural,0.1,WY,0.0
45.95,-89.8682,1997,Human,0.1,WI,0.0
30.47431,-96.84409,2008,Human,80.0,TX,
44.39833333,-114.26166667,1992,Human,0.3,ID,1.0
33.3,-79.81666667,2000,Human,3.0,SC,0.0
32.1522816,-86.6746544,2011,Human,2.0,AL,0.0
31.41846961,-82.38674123,2012,Human,1.0,GA,0.0
41.96166667,-123.42833333,1992,Natural,0.1,CA,1.0
35.33137,-81.30232,2018,Human,3.49,NC,0.0
31.6008,-88.5561,2000,Human,0.1,MS,
45.56896,-117.6987,1992,Natural,0.01,OR,0.0
41.33777158,-74.32759946,2007,Human,0.5,NY,0.0
39.1103,-108.5635,2013,Human,0.1,CO,0.0
47.4179,-98.8845,2015,Human,5.0,ND,
47.9353,-99.0692,2015,Human,0.1,ND,0.0
45.80055195,-92.7724876,2007,Human,7.0,MN,
35.77,-87.8033333,2005,Human,1.0,TN,0.0
25.9649,-80.3295,2014,Human,0.5,FL,0.0
31.6786,-98.7771,2020,Human,5.0,TX,
30.64423333,-94.31066667,2017,Human,25.0,TX,0.0
44.45333333,-121.82916667,2000,Human,0.1,OR,1.0
38.824064,-82.363617,2018,Human,2.5,OH,22.0
48.3167,-110.0452,1993,Human,80.0,MT,0.0
33.235223,-86.3722599,2011,Human,7.0,AL,0.0
35.26461,-82.16557,2008,Undetermined,0.2,NC,
39.51027778,-81.25361111,2018,Human,0.1,OH,
40.27639,-74.22916,1997,Human,0.5,NJ,
37.3653,-113.6794,2010,Human,5.0,UT,0.0
41.0267,-123.645,2017,Human,0.1,CA,0.0
32.2686575,-98.7650958,2011,Human,4.0,TX,
35.80527877,-105.19860839,1995,Undetermined,0.25,NM,
48.91988,-117.77546,1993,Human,0.5,WA,
35.0333,-79.0167,2001,Human,0.1,NC,
35.275,-79.1383,1992,Human,9.0,NC,
34.0075,-118.1716,2010,Human,0.21,CA,
32.7195,-114.7213,1994,Human,2.0,CA,1.0
37.95384971,-100.928649,2017,Human,0.1,KS,0.0
30.01226002,-98.06124,2004,Human,2.0,TX,
26.0131,-81.58,2001,Human,5.0,FL,
28.53,-80.64,2003,Natural,0.1,FL,1.0
30.9739,-90.7528,2000,Human,2.0,LA,
28.87634,-97.0338529,2014,Human,2.0,TX,
30.873545,-87.810297,2004,Human,0.5,AL,0.0
36.2936,-105.2075,2012,Human,0.5,NM,0.0
36.29538,-120.267799,2017,Human,12.0,CA,0.0
34.413,-85.2351,2001,Human,0.91,GA,0.0
37.166667,-100.008333,2011,Human,1280.0,KS,
29.393,-81.6184,2014,Natural,0.5,FL,0.0
40.34888889,-111.13388889,2012,Natural,0.01,UT,11.0
37.37463832,-112.98228364,2004,Undetermined,0.1,UT,
32.29232,-94.35492999,2007,Human,3.0,TX,0.0
34.3435,-95.41917,2018,Human,6.0,OK,0.0
47.12333333,-115.87333333,1994,Natural,0.1,ID,0.0
31.12396393,-82.71118745,2011,Natural,0.28,GA,0.0
35.415,-111.87666667,2015,Natural,0.1,AZ,
41.91331,-71.862763,2017,Human,0.5,CT,0.0
45.63306,-121.64917,2010,Human,14.7,OR,1.0
48.51132522,-98.81579511,2017,Undetermined,64.0,ND,0.0
34.46166667,-111.43444444,2002,Natural,0.1,AZ,1.0
35.9458,-110.5704,2000,Human,0.5,AZ,0.0
38.3991165,-81.72331739,1994,Human,0.1,WV,0.0
47.7784,-117.2317,2015,Human,0.2,WA,8.0
37.40506676,-107.8440334,2020,Human,0.1,CO,0.0
36.1522,-113.364503,2018,Natural,0.1,AZ,6.0
30.6341,-86.851,2014,Human,0.1,FL,0.0
35.0042,-82.7564,2002,Human,0.3,SC,
30.80083,-87.776058,2006,Human,11.5,AL,0.0
34.2117,-78.0017,1995,Human,1.0,NC,
39.46859588,-111.99551159,2020,Human,0.1,UT,0.0
35.8217,-82.4917,1998,Human,0.1,NC,
29.431,-81.6433,2013,Human,0.1,FL,0.0
42.80837342,-96.64595604,2014,Human,1.5,SD,
30.39415,-90.3176,2014,Human,10.74,LA,
35.1833,-79.2833,2002,Human,3.0,NC,
38.746,-108.0275,2014,Human,0.1,CO,0.0
34.79062,-79.40737,2007,Undetermined,0.1,NC,
33.31666667,-79.85,1999,Human,2.0,SC,1.0
27.8,-81.28,1992,Human,10.0,FL,
33.2983,-83.4214,1997,Human,0.16,GA,0.0
33.6925,-83.1392,1999,Human,3.7,GA,
35.8538889,-106.770833,2010,Human,1350.0,NM,28.0
43.8987,-121.0778,2000,Natural,59.0,OR,1.0
32.743447,-86.94101,2014,Human,0.1,AL,0.0
25.47,-80.36,1998,Human,15.0,FL,
36.075,-118.24,1993,Human,0.1,CA,0.0
41.8644,-119.7256,2009,Natural,0.1,NV,0.0
35.80021,-109.06096,2008,Human,0.1,AZ,0.0
40.64584,-74.625,2002,Human,0.25,NJ,0.0
36.91426738,-91.92072716,1992,Human,3.0,MO,
37.571797,-122.300112,2010,Undetermined,0.01,CA,
32.12621,-99.16621,2008,Human,2.0,TX,
33.4125,-79.97916667,1992,Undetermined,18.0,SC,0.0
39.625,-74.61667,1995,Human,0.25,NJ,
37.9466,-114.4558,1998,Natural,63.0,NV,1.0
64.894165,-147.621109,2012,Human,0.1,AK,0.0
36.1867,-91.5867,2001,Human,2.0,AR,
34.666666,-118.75,2019,Undetermined,1.0,CA,
31.697393,-85.270827,2015,Human,20.0,AL,0.0
21.4216251,-158.175766,2003,Undetermined,0.1,HI,
43.96203266,-76.0325113,2006,Human,0.1,NY,0.0
33.7492,-85.4567,2000,Human,10.0,AL,
33.358,-94.995,2010,Human,10.0,TX,
48.5666,-113.0343,1999,Human,0.5,MT,0.0
32.716,-84.9093,2001,Human,1.32,GA,0.0
36.3155,-94.9067,2007,Human,0.3,OK,0.0
33.867894,-103.088522,2010,Natural,0.4,NM,0.0
30.89742,-94.2713,2000,Human,15.0,TX,0.0
39.35583333,-112.23444444,2000,Human,0.1,UT,1.0
43.3185,-120.9961,2006,Natural,2.7,OR,0.0
41.03027778,-123.30944444,2015,Natural,0.1,CA,2.0
37.963177,-122.200722,2010,Human,0.11,CA,1.0
46.171864,-91.935444,2010,Human,0.01,WI,0.0
33.408831,-111.840083,2020,Human,0.1,AZ,
40.6722983,-90.5218163,2013,Human,37.0,IL,1.0
40.0666,-108.334,1995,Natural,0.5,CO,1.0
35.8797,-92.6042,1999,Human,1.0,AR,
33.052897,-105.5428,2011,Human,5.5,NM,1.0
40.364887,-120.455584,2020,Natural,0.1,CA,
33.22956,-93.93459,2007,Human,5.0,AR,
35.3,-87.1867,1997,Human,4.0,TN,
34.77916667,-79.79166667,1994,Undetermined,2.0,SC,0.0
37.87194444,-78.285,2010,Human,0.1,VA,
38.2235,-104.6588,2017,Human,0.1,CO,0.0
45.6871,-108.5348,2018,Human,0.1,MT,
29.61,-81.95,1997,Human,3.0,FL,
